,lags,params,custom_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
93,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.20291204708606012, 'subsample': 0.6628938602723701, 'colsample_bytree': 0.5494707607480355, 'gamma': 0.2902283042926683, 'reg_alpha': 0.9912709073661334, 'reg_lambda': 0.4596184315943028}",59.40096935606355,1100.0,3.0,0.20291204708606012,0.6628938602723701,0.5494707607480355,0.2902283042926683,0.9912709073661334,0.4596184315943028
14,[1 2 3 4 5 6 7],"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.2357168617955952, 'subsample': 0.5000668543349766, 'colsample_bytree': 0.8308978922857104, 'gamma': 0.28605815118616695, 'reg_alpha': 0.7991732407666287, 'reg_lambda': 0.8126908979156179}",61.06091712030249,500.0,3.0,0.2357168617955952,0.5000668543349766,0.8308978922857104,0.28605815118616695,0.7991732407666287,0.8126908979156179
23,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 9, 'learning_rate': 0.3355500767772276, 'subsample': 0.49838816943806263, 'colsample_bytree': 0.9007753226256588, 'gamma': 0.6668164479442578, 'reg_alpha': 0.9549822043919435, 'reg_lambda': 0.48229629371769056}",61.80976641624377,400.0,9.0,0.3355500767772276,0.49838816943806263,0.9007753226256588,0.6668164479442578,0.9549822043919435,0.48229629371769056
61,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.197744184535645, 'subsample': 0.678027118409255, 'colsample_bytree': 0.5518331336447748, 'gamma': 0.1551305733192172, 'reg_alpha': 0.7274693561587857, 'reg_lambda': 0.5287225629196572}",62.87820388842122,1100.0,3.0,0.197744184535645,0.678027118409255,0.5518331336447748,0.1551305733192172,0.7274693561587857,0.5287225629196572
178,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2011892606934021, 'subsample': 0.6711452596839623, 'colsample_bytree': 0.5696339431772318, 'gamma': 0.49490872258721263, 'reg_alpha': 0.7338993482741762, 'reg_lambda': 0.49725234735556434}",63.87848120222186,1200.0,3.0,0.2011892606934021,0.6711452596839623,0.5696339431772318,0.49490872258721263,0.7338993482741762,0.49725234735556434
52,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.20213346437170243, 'subsample': 0.6765425316236963, 'colsample_bytree': 0.5655519941365558, 'gamma': 0.13597673057054538, 'reg_alpha': 0.805952115185581, 'reg_lambda': 0.5229058171529888}",64.54895689461296,1100.0,3.0,0.20213346437170243,0.6765425316236963,0.5655519941365558,0.13597673057054538,0.805952115185581,0.5229058171529888
95,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2221171693476519, 'subsample': 0.7322787448833195, 'colsample_bytree': 0.509982269547612, 'gamma': 0.13830093626441417, 'reg_alpha': 0.947037243760611, 'reg_lambda': 0.3995993025696711}",64.58803407989946,1200.0,3.0,0.2221171693476519,0.7322787448833195,0.509982269547612,0.13830093626441417,0.947037243760611,0.3995993025696711
111,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2628975772498356, 'subsample': 0.6195262340206851, 'colsample_bytree': 0.5678043407295873, 'gamma': 0.11559492333417382, 'reg_alpha': 0.8838478556896384, 'reg_lambda': 0.4914344527794596}",64.78389087195772,1200.0,3.0,0.2628975772498356,0.6195262340206851,0.5678043407295873,0.11559492333417382,0.8838478556896384,0.4914344527794596
127,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.29038587730970256, 'subsample': 0.6627788858179703, 'colsample_bytree': 0.585776754139169, 'gamma': 0.2820851060236947, 'reg_alpha': 0.7656452035057154, 'reg_lambda': 0.5267776223873928}",64.79884668933552,1100.0,3.0,0.29038587730970256,0.6627788858179703,0.585776754139169,0.2820851060236947,0.7656452035057154,0.5267776223873928
98,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.2345372084770818, 'subsample': 0.7317967899024282, 'colsample_bytree': 0.5488422886684312, 'gamma': 0.3012553619345745, 'reg_alpha': 0.9409433603334977, 'reg_lambda': 0.39367777759629036}",64.93203841225943,1100.0,3.0,0.2345372084770818,0.7317967899024282,0.5488422886684312,0.3012553619345745,0.9409433603334977,0.39367777759629036
196,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.25747827381169947, 'subsample': 0.6968991658591056, 'colsample_bytree': 0.5813905118710355, 'gamma': 0.18112147798060052, 'reg_alpha': 0.6100613173079178, 'reg_lambda': 0.47590375117655265}",65.24217255998047,1100.0,3.0,0.25747827381169947,0.6968991658591056,0.5813905118710355,0.18112147798060052,0.6100613173079178,0.47590375117655265
121,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.24688816658745863, 'subsample': 0.6456060352128087, 'colsample_bytree': 0.5862230775668267, 'gamma': 0.15242018391924753, 'reg_alpha': 0.7855633987255096, 'reg_lambda': 0.4759344314175937}",65.2442143296648,1200.0,3.0,0.24688816658745863,0.6456060352128087,0.5862230775668267,0.15242018391924753,0.7855633987255096,0.4759344314175937
171,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.20412483147436047, 'subsample': 0.6127195125391547, 'colsample_bytree': 0.605416763348387, 'gamma': 0.2964384932962301, 'reg_alpha': 0.7797840612847615, 'reg_lambda': 0.43809940850430773}",65.43674156489193,1200.0,3.0,0.20412483147436047,0.6127195125391547,0.605416763348387,0.2964384932962301,0.7797840612847615,0.43809940850430773
145,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2659371516802108, 'subsample': 0.6014644084370729, 'colsample_bytree': 0.5088535027674869, 'gamma': 0.22821472545506563, 'reg_alpha': 0.7275202899368497, 'reg_lambda': 0.5181922825745902}",65.73336628902742,1200.0,3.0,0.2659371516802108,0.6014644084370729,0.5088535027674869,0.22821472545506563,0.7275202899368497,0.5181922825745902
161,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.251553412331667, 'subsample': 0.6357378464427361, 'colsample_bytree': 0.5798761388361681, 'gamma': 0.34898958618342457, 'reg_alpha': 0.7574676139994737, 'reg_lambda': 0.4729513805809929}",65.98289000988414,1200.0,3.0,0.251553412331667,0.6357378464427361,0.5798761388361681,0.34898958618342457,0.7574676139994737,0.4729513805809929
91,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.22406383308867042, 'subsample': 0.6591864479653833, 'colsample_bytree': 0.5728753998152076, 'gamma': 0.2422232710511294, 'reg_alpha': 0.9678590152209445, 'reg_lambda': 0.45141338622554494}",66.30499022895756,1100.0,3.0,0.22406383308867042,0.6591864479653833,0.5728753998152076,0.2422232710511294,0.9678590152209445,0.45141338622554494
46,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.2054124702792307, 'subsample': 0.5767584226119558, 'colsample_bytree': 0.6427255172002846, 'gamma': 0.5608578116932675, 'reg_alpha': 0.6145595885018693, 'reg_lambda': 0.5707887326292196}",66.46358720895192,1100.0,3.0,0.2054124702792307,0.5767584226119558,0.6427255172002846,0.5608578116932675,0.6145595885018693,0.5707887326292196
49,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.19366696053888025, 'subsample': 0.6325487446740277, 'colsample_bytree': 0.55020476495988, 'gamma': 0.11281431569401115, 'reg_alpha': 0.7356098666954181, 'reg_lambda': 0.4866301168392558}",67.03963022939335,1200.0,3.0,0.19366696053888025,0.6325487446740277,0.55020476495988,0.11281431569401115,0.7356098666954181,0.4866301168392558
152,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2542170710358034, 'subsample': 0.6071534745507606, 'colsample_bytree': 0.586564470174272, 'gamma': 0.5570915424112457, 'reg_alpha': 0.6953462267351992, 'reg_lambda': 0.44456046543399297}",67.25518451685834,1200.0,3.0,0.2542170710358034,0.6071534745507606,0.586564470174272,0.5570915424112457,0.6953462267351992,0.44456046543399297
194,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.22063074636718455, 'subsample': 0.6644554037277643, 'colsample_bytree': 0.5829628120459408, 'gamma': 0.22611663378550284, 'reg_alpha': 0.707230403230948, 'reg_lambda': 0.4876543989696818}",67.46930730899102,1200.0,3.0,0.22063074636718455,0.6644554037277643,0.5829628120459408,0.22611663378550284,0.707230403230948,0.4876543989696818
81,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.23209948873187772, 'subsample': 0.6643956126857601, 'colsample_bytree': 0.5693146176301647, 'gamma': 0.24328601808486125, 'reg_alpha': 0.9587211947881878, 'reg_lambda': 0.42406213398183856}",67.64084464937564,1100.0,3.0,0.23209948873187772,0.6643956126857601,0.5693146176301647,0.24328601808486125,0.9587211947881878,0.42406213398183856
169,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2066714516896535, 'subsample': 0.6117691869858646, 'colsample_bytree': 0.6057497495683962, 'gamma': 0.28931238922787517, 'reg_alpha': 0.7828929598385699, 'reg_lambda': 0.44585039602808807}",67.83851693181454,1200.0,3.0,0.2066714516896535,0.6117691869858646,0.6057497495683962,0.28931238922787517,0.7828929598385699,0.44585039602808807
172,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.19651385541129407, 'subsample': 0.6280803460155031, 'colsample_bytree': 0.5704872073689387, 'gamma': 0.33025133435826265, 'reg_alpha': 0.799842937328295, 'reg_lambda': 0.46360378774711614}",68.31406607989209,1200.0,3.0,0.19651385541129407,0.6280803460155031,0.5704872073689387,0.33025133435826265,0.799842937328295,0.46360378774711614
48,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.24821018323291094, 'subsample': 0.6326184642115161, 'colsample_bytree': 0.5711053138068967, 'gamma': 0.14501795389796385, 'reg_alpha': 0.7424267417604431, 'reg_lambda': 0.48611816296268673}",68.35053429636336,1200.0,3.0,0.24821018323291094,0.6326184642115161,0.5711053138068967,0.14501795389796385,0.7424267417604431,0.48611816296268673
65,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.18399090678563754, 'subsample': 0.5343664196102332, 'colsample_bytree': 0.6783907842308152, 'gamma': 0.2289393235917955, 'reg_alpha': 0.6607169032983098, 'reg_lambda': 0.6229911246203689}",68.57365261551507,1100.0,3.0,0.18399090678563754,0.5343664196102332,0.6783907842308152,0.2289393235917955,0.6607169032983098,0.6229911246203689
191,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.21235007726806088, 'subsample': 0.6142362838214963, 'colsample_bytree': 0.6040719992984754, 'gamma': 0.2923866872746035, 'reg_alpha': 0.7753631132712588, 'reg_lambda': 0.4450882633022994}",68.96271964590966,1200.0,3.0,0.21235007726806088,0.6142362838214963,0.6040719992984754,0.2923866872746035,0.7753631132712588,0.4450882633022994
68,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.2279455516532622, 'subsample': 0.6569789227544691, 'colsample_bytree': 0.5587525523823198, 'gamma': 0.2333259837364145, 'reg_alpha': 0.9622652481789506, 'reg_lambda': 0.44159701024523657}",68.96383497173012,1100.0,3.0,0.2279455516532622,0.6569789227544691,0.5587525523823198,0.2333259837364145,0.9622652481789506,0.44159701024523657
123,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2445168516632576, 'subsample': 0.674639879385193, 'colsample_bytree': 0.5099194257098044, 'gamma': 0.2030670494878375, 'reg_alpha': 0.8104126424279767, 'reg_lambda': 0.5575766483700386}",69.01223789093396,1200.0,3.0,0.2445168516632576,0.674639879385193,0.5099194257098044,0.2030670494878375,0.8104126424279767,0.5575766483700386
142,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2151533063785176, 'subsample': 0.636621646347304, 'colsample_bytree': 0.5400695283151199, 'gamma': 0.18687586459832384, 'reg_alpha': 0.7722787592240977, 'reg_lambda': 0.4251586170247096}",69.43517241806671,1200.0,3.0,0.2151533063785176,0.636621646347304,0.5400695283151199,0.18687586459832384,0.7722787592240977,0.4251586170247096
69,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 8, 'learning_rate': 0.2664879302881225, 'subsample': 0.5246363001165717, 'colsample_bytree': 0.5941745626231173, 'gamma': 0.1550744324825468, 'reg_alpha': 0.7816997232542866, 'reg_lambda': 0.4829950365968573}",69.4715784341881,1200.0,8.0,0.2664879302881225,0.5246363001165717,0.5941745626231173,0.1550744324825468,0.7816997232542866,0.4829950365968573
143,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.29145936673790285, 'subsample': 0.6627426666362585, 'colsample_bytree': 0.5735692680931201, 'gamma': 0.12352288482195255, 'reg_alpha': 0.744160571033657, 'reg_lambda': 0.495386177814004}",69.6062822838431,1200.0,3.0,0.29145936673790285,0.6627426666362585,0.5735692680931201,0.12352288482195255,0.744160571033657,0.495386177814004
183,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.17742093568770187, 'subsample': 0.6231004920227541, 'colsample_bytree': 0.5867407964648488, 'gamma': 0.5349744536477608, 'reg_alpha': 0.7187341816124774, 'reg_lambda': 0.4476344973076262}",69.6901891638226,1100.0,3.0,0.17742093568770187,0.6231004920227541,0.5867407964648488,0.5349744536477608,0.7187341816124774,0.4476344973076262
51,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.19559604522599217, 'subsample': 0.6747782998374867, 'colsample_bytree': 0.5530190581336716, 'gamma': 0.1341746156348162, 'reg_alpha': 0.7462518872477688, 'reg_lambda': 0.5259098739162392}",69.73095024172326,1100.0,3.0,0.19559604522599217,0.6747782998374867,0.5530190581336716,0.1341746156348162,0.7462518872477688,0.5259098739162392
131,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.23536414399252162, 'subsample': 0.6665642690577874, 'colsample_bytree': 0.579395321202154, 'gamma': 0.21219505354576065, 'reg_alpha': 0.7262496234531708, 'reg_lambda': 0.7980717773125984}",69.78164907346677,1100.0,3.0,0.23536414399252162,0.6665642690577874,0.579395321202154,0.21219505354576065,0.7262496234531708,0.7980717773125984
186,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.21632518010404833, 'subsample': 0.7517222691980141, 'colsample_bytree': 0.5334971174659177, 'gamma': 0.49586240730986103, 'reg_alpha': 0.7938161441379419, 'reg_lambda': 0.39211805945444833}",69.8220119492228,1100.0,3.0,0.21632518010404833,0.7517222691980141,0.5334971174659177,0.49586240730986103,0.7938161441379419,0.39211805945444833
156,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2225847898097215, 'subsample': 0.6215180587868298, 'colsample_bytree': 0.6131062006031965, 'gamma': 0.566222064083657, 'reg_alpha': 0.6635681803463566, 'reg_lambda': 0.4175177388140912}",70.17717863364926,1200.0,3.0,0.2225847898097215,0.6215180587868298,0.6131062006031965,0.566222064083657,0.6635681803463566,0.4175177388140912
193,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.20573710571175458, 'subsample': 0.5834833671348124, 'colsample_bytree': 0.5461283631357354, 'gamma': 0.35065785625432894, 'reg_alpha': 0.7804686024931945, 'reg_lambda': 0.4089778093454533}",70.546960943094,1200.0,3.0,0.20573710571175458,0.5834833671348124,0.5461283631357354,0.35065785625432894,0.7804686024931945,0.4089778093454533
40,[1 2 3 4 5 6 7],"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.17583895014828424, 'subsample': 0.4735749831149838, 'colsample_bytree': 0.7130104720697348, 'gamma': 0.5539549359613963, 'reg_alpha': 0.6080602089973476, 'reg_lambda': 0.5677076112377755}",71.15379190084354,800.0,3.0,0.17583895014828424,0.4735749831149838,0.7130104720697348,0.5539549359613963,0.6080602089973476,0.5677076112377755
190,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2011239773130541, 'subsample': 0.6105186025974076, 'colsample_bytree': 0.601354902155932, 'gamma': 0.6543670927243629, 'reg_alpha': 0.7535142472497312, 'reg_lambda': 0.466108527197073}",71.17799356846842,1200.0,3.0,0.2011239773130541,0.6105186025974076,0.601354902155932,0.6543670927243629,0.7535142472497312,0.466108527197073
122,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2715243568357518, 'subsample': 0.6308767947731229, 'colsample_bytree': 0.5813281746660601, 'gamma': 0.1515941856385016, 'reg_alpha': 0.7832880008595645, 'reg_lambda': 0.45983863261947433}",71.23020967119292,1200.0,3.0,0.2715243568357518,0.6308767947731229,0.5813281746660601,0.1515941856385016,0.7832880008595645,0.45983863261947433
164,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.27256849294902025, 'subsample': 0.6661499527501007, 'colsample_bytree': 0.5378170356661451, 'gamma': 0.3437894971092601, 'reg_alpha': 0.7633803440846373, 'reg_lambda': 0.5447878396761948}",71.39619092704493,1200.0,3.0,0.27256849294902025,0.6661499527501007,0.5378170356661451,0.3437894971092601,0.7633803440846373,0.5447878396761948
189,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.24407575980832633, 'subsample': 0.709125457900287, 'colsample_bytree': 0.5706523923940353, 'gamma': 0.11474578911596589, 'reg_alpha': 0.9245399569707253, 'reg_lambda': 0.5273967353972036}",71.4031736535112,1100.0,3.0,0.24407575980832633,0.709125457900287,0.5706523923940353,0.11474578911596589,0.9245399569707253,0.5273967353972036
2,[1 2 3 4 5 6 7],"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.2704601731825008, 'subsample': 0.5786448283871795, 'colsample_bytree': 0.6709608626961889, 'gamma': 0.8494317940777896, 'reg_alpha': 0.7244553248606352, 'reg_lambda': 0.6110235106775829}",71.94236081106085,500.0,4.0,0.2704601731825008,0.5786448283871795,0.6709608626961889,0.8494317940777896,0.7244553248606352,0.6110235106775829
78,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.21685983201883155, 'subsample': 0.46378444963322385, 'colsample_bytree': 0.5330909307955015, 'gamma': 0.2779985106488361, 'reg_alpha': 0.7648365815109817, 'reg_lambda': 0.5593729765012032}",72.06780729523969,1200.0,3.0,0.21685983201883155,0.46378444963322385,0.5330909307955015,0.2779985106488361,0.7648365815109817,0.5593729765012032
92,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.25293002247315977, 'subsample': 0.6173168303552565, 'colsample_bytree': 0.5762130608699337, 'gamma': 0.20136217568135367, 'reg_alpha': 0.9727090358773053, 'reg_lambda': 0.48865286326681495}",72.26216810236879,1100.0,3.0,0.25293002247315977,0.6173168303552565,0.5762130608699337,0.20136217568135367,0.9727090358773053,0.48865286326681495
107,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.22193561369009412, 'subsample': 0.6919540549459174, 'colsample_bytree': 0.555107001407882, 'gamma': 0.13548951013030663, 'reg_alpha': 0.8599093573566993, 'reg_lambda': 0.3284997813467456}",72.30652263967116,1100.0,3.0,0.22193561369009412,0.6919540549459174,0.555107001407882,0.13548951013030663,0.8599093573566993,0.3284997813467456
181,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.16899945640173641, 'subsample': 0.6709359384651231, 'colsample_bytree': 0.5744612957185697, 'gamma': 0.4790085015466709, 'reg_alpha': 0.5420785808869479, 'reg_lambda': 0.6369077034906752}",72.32309935063647,1200.0,3.0,0.16899945640173641,0.6709359384651231,0.5744612957185697,0.4790085015466709,0.5420785808869479,0.6369077034906752
108,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.17681638728892854, 'subsample': 0.6646705135003573, 'colsample_bytree': 0.6208524527662934, 'gamma': 0.05564723088821259, 'reg_alpha': 0.9013796904915378, 'reg_lambda': 0.4628274901400863}",72.4170134983721,400.0,4.0,0.17681638728892854,0.6646705135003573,0.6208524527662934,0.05564723088821259,0.9013796904915378,0.4628274901400863
62,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.21301444168470896, 'subsample': 0.6002990492686722, 'colsample_bytree': 0.6335524870251926, 'gamma': 0.17982349682451898, 'reg_alpha': 0.7125309015191155, 'reg_lambda': 0.4701505231820003}",72.82243814217323,1100.0,3.0,0.21301444168470896,0.6002990492686722,0.6335524870251926,0.17982349682451898,0.7125309015191155,0.4701505231820003
