id,Cauce,Municipio,Provincia,Coordenadas UTM,X,Y,Z,Tipo de presa,Capacidad máxima,Superficie máxima,Cuenca vertiente,Altura de presa,Cota de cauce,Cota del nivel Máx. normal,Cota de coronación,Longitud en coronación,titulo
2001,Duero,Vinuesa,Soria,Huso 30,41.87740057108717,-2.702771054753021,1086,Gravedad,"248,80 hm3","2.289,00 ha","547,67 km2","40,25 m","1.049,60 m","1.084,45 m","1.085,60 m","425,00 m",Embalse de Cuerda del Pozo
2002,Duero,Soria,Soria,Huso 30,41.835305286474636,-2.5242737011196263,1026,Azud,"2,00 hm3","15,00 ha",n/d km2,"13,20 m","1.018,00 m","1.025,10 m","1.027,20 m","87,00 m",Embalse de Campillo de Buitrago
2003,Duero,Los Rábanos,Soria,Huso 30,41.71016898290066,-2.472200033066663,1008,Gravedad,"6,20 hm3","92,00 ha",n/d km2,"22,00 m","986,70 m","1.005,00 m","1.007,70 m","170,00 m",Embalse de Los Rábanos
2004,Duero,Castronuño,Valladolid,Huso 30,41.40349856904427,-5.274368886766481,660,Gravedad,"6,00 hm3","250,00 ha",n/d km2,"17,30 m","644,75 m","655,00 m","660,00 m","156,00 m",Embalse de San José
2005,Duero,Villalcampo,Zamora,Huso 30,41.4913799083165,-6.086039625738821,590,Gravedad,"66,00 hm3","445,00 ha",n/d km2,"50,00 m","557,00 m","601,00 m","601,00 m","300,00 m",Embalse de Villalcampo
2006,Duero,Villadepera,Zamora,Huso 30,41.575510850477784,-6.187657152858734,553,Gravedad,"27,50 hm3","172,00 ha",n/d km2,"55,00 m","516,00 m","564,00 m","564,00 m","144,00 m",Embalse de Castro
2007,Duero,Aldeadávila de la Ribera,Salamanca,Huso 30,41.21190633083952,-6.686229937517068,326,Arco Gravedad,"114,87 hm3","368,00 ha",n/d km2,"140,00 m","204,00 m","328,00 m","328,00 m","250,00 m",Embalse de Aldeadávila
2008,Duero,Saucelle,Salamanca,Huso 30,41.04754980629968,-6.804572490503084,182,Gravedad,"181,37 hm3","582,00 ha",n/d km2,"83,00 m","114,00 m","190,00 m","190,00 m","189,00 m",Embalse de Saucelle
2041,Arlanzón,Villasur de Herreros,Burgos,Huso 30,42.265741246772244,-3.3375197987588203,1144,Gravedad,"22,40 hm3","127,00 ha","106,80 km2","47,20 m","1.100,30 m","1.143,00 m","1.143,80 m","267,00 m",Embalse de Arlanzón
2042,Arlanzón,Villasur de Herreros,Burgos,Huso 30,42.30741342832654,-3.366692321022369,1105,Materiales Sueltos Homogénea,"74,60 hm3","313,00 ha","150,00 km2","59,00 m","1.038,65 m","1.092,65 m","1.097,65 m","460,00 m",Embalse de Úzquiza
2061,Pisuerga,Cervera de Pisuerga,Palencia,Huso 30,42.90749433270959,-4.527478869025135,1083,Gravedad,"58,70 hm3","302,10 ha","221,15 km2","48,95 m","1.031,00 m","1.079,95 m","1.081,45 m","200,00 m",Embalse de La Requejada
2062,Pisuerga,Aguilar de Campoo,Palencia,Huso 30,42.79720006532106,-4.2847832168640485,943,Gravedad,"247,20 hm3","1.650,00 ha","546,00 km2","48,00 m","900,00 m","942,00 m","943,30 m","500,00 m",Embalse de Aguilar de Campoo
2091,Rivera,Cervera de Pisuerga,Palencia,Huso 30,42.86854000480636,-4.533434676057495,1043,Gravedad,"10,30 hm3","91,00 ha","54,36 km2","36,50 m","1.012,00 m","1.041,60 m","1.042,50 m","130,00 m",Embalse de Cervera-Ruesga
2101,Carrión,Velilla del río Carrión,Palencia,Huso 30,42.900164456729854,-4.737690287806844,1292,Gravedad de planta recta,"68,70 hm3","388,00 ha","229,31 km2","75,50 m","1.224,70 m","1.290,70 m","1.292,20 m","160,00 m",Embalse de Camporredondo
2102,Carrión,Velilla del río Carrión,Palencia,Huso 30,42.86298704376764,-4.826496383790345,1223,Gravedad de planta curva,"95,00 hm3","376,00 ha","308,00 km2","77,70 m","1.147,00 m","1.221,50 m","1.222,70 m","273,42 m",Embalse de Compuerto
2141,Canal Cea-Carrión,Sahagún,León,Huso 30,42.314394497175776,-5.071485558768607,787,Embalse,n/d hm3,n/d ha,n/d km2,n/d m,n/d m,n/d m,n/d m,n/d m,Azud de Galleguillos
2171,Esla,Crémenes,León,Huso 30,42.93003706099889,-5.08274058219615,1103,Bóveda,"641,40 hm3","2.186,00 ha","594,97 km2","100,50 m","1.013,50 m","1.099,55 m","1.102,50 m","337,40 m",Embalse de Riaño
2172,Esla,Muelas del Pan,Zamora,Huso 30,41.52730925570193,-5.985293655673226,664,Gravedad,"1.148,08 hm3","5.855,00 ha",n/d km2,"99,60 m","592,50 m","684,00 m","684,00 m","270,00 m",Embalse del Esla
2181,Porma,Boñar,León,Huso 30,42.93103910573787,-5.290411669585452,1098,Gravedad,"317,80 hm3","1.249,00 ha","250,40 km2","77,60 m","1.023,50 m","1.095,60 m","1.097,60 m","251,40 m",Embalse de Porma
2231,Luna,Barrios de Luna,León,Huso 30,42.851868966694106,-5.862673788302435,1111,Gravedad,"308,00 hm3","1.130,00 ha","485,81 km2","96,20 m","1.029,50 m","1.108,50 m","1.111,20 m","197,50 m",Embalse de Barrios de Luna
2232,Luna,Rioseco de Tapia,León,Huso 30,42.7560350958277,-5.787114487331526,965,Gravedad,"2,35 hm3","51,00 ha",n/d km2,"14,40 m","953,10 m","964,00 m","964,05 m","159,00 m",Embalse de Selga de Ordás
2261,Tuerto,Quintana del Castillo,León,Huso 30,42.652582645474574,-6.069977267400799,1010,Gravedad,"20,00 hm3","186,00 ha","54,99 km2","39,00 m","978,90 m","1.008,90 m","1.009,90 m","205,75 m",Embalse de Villameca
2292,Tera,Cernadilla,Zamora,Huso 30,42.01966639749856,-6.458900215843187,865,Gravedad,"255,54 hm3","1.394,00 ha","576,16 km2","67,00 m","830,00 m","889,00 m","889,00 m","388,00 m",Embalse de Cernadilla
2293,Tera,Mombuey,Zamora,Huso 30,41.993152012012246,-6.270925922918199,808,Gravedad,"162,37 hm3","1.224,00 ha",n/d km2,"67,00 m","780,00 m","833,00 m","833,00 m","540,00 m",Embalse de Valparaíso
2294,Tera,Rionegro del Puente,Zamora,Huso 30,41.97779238352867,-6.140993787531147,773,Gravedad,"35,88 hm3","360,00 ha",n/d km2,"42,50 m","748,00 m","785,00 m","785,00 m","481,40 m",Embalse de Nuestra Señora del Agavanzal
2511,Riaza,Maderuelo,Segovia,Huso 30,41.53005869666175,-3.5549939960731582,917,Gravedad,"54,40 hm3","473,00 ha","760,30 km2","35,60 m","887,30 m","915,30 m","916,60 m","111,85 m",Embalse de Linares del Arroyo
2521,Duratón,Carrascal del Río,Segovia,Huso 30,41.33736577984615,-3.8853414379262006,873,Gravedad,"15,10 hm3","260,00 ha","819,91 km2","42,30 m","839,00 m","875,00 m","875,00 m","114,00 m",Embalse de Burgomillodo
2522,Duratón,Fuentidueña,Segovia,Huso 30,41.42853236661881,-3.9646704031403237,831,Arco Gravedad,"4,50 hm3","71,00 ha",n/d km2,"33,30 m","804,40 m","823,40 m","823,40 m","82,00 m",Embalse de Las Vencías
2541,Eresma,Palazuelos de Eresma,Segovia,Huso 30,40.91650145025355,-4.031371846482586,1105,Bóveda,"7,30 hm3","70,23 ha","153,64 km2","49,00 m","1.061,50 m","1.101,85 m","1.104,50 m","248,00 m",Embalse de El Pontón Alto
2551,Adaja,Mingorria,Ávila,Huso 30,40.724024994187786,-4.695246595748788,1055,Bóveda,"58,20 hm3","394,00 ha","854,99 km2","67,00 m","995,00 m","1.050,50 m","1.054,50 m","299,20 m",Embalse del Castro de las Cogotas
2571,Tormes,Montejo,Salamanca,Huso 30,40.66716154763166,-5.6049473868483455,888,Gravedad,"496,00 hm3","2.579,00 ha","1.851,56 km2","58,50 m","832,70 m","885,70 m","887,20 m","517,00 m",Embalse de Santa Teresa
2572,Tormes,Villagonzalo de Tormes,Salamanca,Huso 30,40.87508707434816,-5.494458528042222,1000,Gravedad,"6,31 hm3","219,17 ha",n/d km2,"10,30 m","794,30 m","804,60 m","807,80 m","146,40 m",Embalse de Villagonzalo
2574,Tormes,Almendra,Salamanca,Huso 30,41.27169609542827,-6.320193162707053,702,Bóveda,"2.586,36 hm3","8.650,00 ha",n/d km2,"202,00 m","547,00 m","730,00 m","730,00 m","567,23 m",Embalse de Almendra
2601,Águeda,Zamarra,Salamanca,Huso 30,40.530968470874626,-6.480759466934856,640,Gravedad,"15,40 hm3","175,80 ha","809,30 km2","34,60 m","627,52 m","659,02 m","662,12 m","195,70 m",Embalse de Águeda
2602,Águeda,Fuenteguinaldo,Salamanca,Huso 30,40.44573908335724,-6.578041981792693,778,Arco Gravedad,"110,00 hm3","600,00 ha","467,09 km2","75,45 m","709,00 m","772,50 m","777,50 m","420,00 m",Embalse de Irueña
